ETagGantryID,LinkID,LocationType,PositionLon,PositionLat,RoadID,RoadName,RoadClass,RoadDirection,Start,End,LocationMile,LocationMile_Numeric
03F3670N,0000300136700D,4,120.35477,22.90197,000030,國道3號,0,N,田寮,關廟服務區,367K+000,367000
03F3588N,0000300135900D,4,120.340164,22.969757,000030,國道3號,0,N,關廟服務區,關廟,358K+800,358800
03F3496N,0000300135000D,4,120.32517,23.040203,000030,國道3號,0,N,關廟,新化系統,349K+600,349600
03F3445N,0000300134400D,4,120.32903,23.085272,000030,國道3號,0,N,新化系統,善化,344K+500,344500
03F3392N,0000300133900D,4,120.33371,23.132065,000030,國道3號,0,N,善化,官田系統,339K+200,339200
03F3307N,0000300133100D,4,120.35546,23.203276,000030,國道3號,0,N,官田系統,烏山頭,330K+700,330700
03F3259N,0000300132600D,4,120.36738,23.244993,000030,國道3號,0,N,烏山頭,柳營,325K+900,325900
03F3211N,0000300132120D,4,120.39025,23.279282,000030,國道3號,0,N,柳營,東山服務區,321K+100,321100
03F3187N,0000300131900D,4,120.40417,23.296692,000030,國道3號,0,N,東山服務區,白河,318K+700,318700
03F3101N,0000300131000D,4,120.436356,23.361254,000030,國道3號,0,N,白河,水上系統,310K+100,310100
03F2985N,0000300129850Q,4,120.4812,23.442486,000030,國道3號,0,N,水上系統,中埔,298K+500,298500
03F2923N,0000300129220Q,4,120.49458,23.492079,000030,國道3號,0,N,中埔,竹崎(縣道159線),292K+300,292300
03F2899N,0000300129000Q,4,120.48633,23.511683,000030,國道3號,0,N,竹崎(縣道159線),竹崎(縣道166線),289K+900,289900
03F2840N,0000300128400Q,4,120.50506,23.558125,000030,國道3號,0,N,竹崎(縣道166線),梅山,284K+000,284000
03F2777N,0000300127800P,4,120.53251,23.606792,000030,國道3號,0,N,梅山,古坑服務區,277K+700,277700
03F2747N,0000300127500P,4,120.55856,23.618202,000030,國道3號,0,N,古坑服務區,古坑(朝陽路),274K+700,274700
03F2709N,0000300127100P,4,120.572914,23.649279,000030,國道3號,0,N,古坑(朝陽路),古坑(文化路)&古坑系統,270K+900,270900
03F2614N,0000300126120P,4,120.60178,23.724424,000030,國道3號,0,N,古坑(文化路)&古坑系統,斗六,261K+400,261400
03F2535N,0000300125300P,4,120.6259,23.775581,000030,國道3號,0,N,斗六,南雲,253K+500,253500
03F2447N,0000300124430M,4,120.70452,23.787485,000030,國道3號,0,N,南雲,竹山,244K+700,244700
03F2415N,0000300124100M,4,120.700005,23.814837,000030,國道3號,0,N,竹山,名間,241K+500,241500
03F2336N,0000300123300M,4,120.70918,23.88203,000030,國道3號,0,N,名間,南投服務區,233K+600,233600
03F2306N,0000300123000M,4,120.70283,23.90678,000030,國道3號,0,N,南投服務區,南投,230K+600,230600
03F2260N,0000300122600M,4,120.67685,23.937927,000030,國道3號,0,N,南投,中興,226K+000,226000
03F2231N,0000300122300M,4,120.657616,23.957104,000030,國道3號,0,N,中興,中興系統,223K+100,223100
03F2194N,0000300121900M,4,120.65272,23.985844,000030,國道3號,0,N,中興系統,草屯,219K+400,219400
03F2153N,0000300121510N,4,120.66316,24.018944,000030,國道3號,0,N,草屯,霧峰系統,215K+300,215300
03F2125N,0000300121220B,4,120.67786,24.040995,000030,國道3號,0,N,霧峰系統,霧峰,212K+500,212500
03F2100N,0000300121000B,4,120.67153,24.060429,000030,國道3號,0,N,霧峰,中投,210K+000,210000
03F2078N,0000300120800B,4,120.651436,24.067959,000030,國道3號,0,N,中投,烏日,207K+800,207800
03F2066N,0000300120600B,4,120.63971,24.070333,000030,國道3號,0,N,烏日,快官,206K+600,206600
03F1992N,0000300119900N,4,120.57875,24.102526,000030,國道3號,0,N,快官,彰化系統,199K+200,199200
03F1941N,0000300119400N,4,120.534546,24.120947,000030,國道3號,0,N,彰化系統,和美,194K+100,194100
03F1860N,0000300118600B,4,120.54824,24.177832,000030,國道3號,0,N,和美,龍井,186K+000,186000
03F1779N,0000300117700B,4,120.59331,24.234648,000030,國道3號,0,N,龍井,沙鹿,177K+900,177900
03F1739N,0000300117400B,4,120.590805,24.269464,000030,國道3號,0,N,沙鹿,清水服務區,173K+900,173900
03F1710N,0000300117100B,4,120.60197,24.292881,000030,國道3號,0,N,清水服務區,中港系統,171K+000,171000
03F1651N,0000300116520B,4,120.635574,24.334719,000030,國道3號,0,N,中港系統,大甲,165K+100,165100
03F1633N,0000300116300B,4,120.651566,24.34112,000030,國道3號,0,N,大甲,苑裡,163K+300,163300
03F1485N,0000300114800K,4,120.68121,24.467308,000030,國道3號,0,N,苑裡,通霄,148K+500,148500
03F1395N,0000300113900K,4,120.73325,24.531124,000030,國道3號,0,N,通霄,西湖服務區,139K+500,139500
03F1332N,0000300113300K,4,120.76442,24.579641,000030,國道3號,0,N,西湖服務區,後龍,133K+200,133200
03F1257N,0000300112520K,4,120.814,24.627161,000030,國道3號,0,N,後龍,大山,125K+700,125700
03F1215N,0000300112100K,4,120.83824,24.655964,000030,國道3號,0,N,大山,竹南,121K+500,121500
03F1161N,0000300111600K,4,120.860085,24.698006,000030,國道3號,0,N,竹南,西濱,116K+100,116100
03F1128N,0000300111200K,4,120.88964,24.711384,000030,國道3號,0,N,西濱,香山,112K+800,112800
03F1051N,0000300110500O,4,120.94568,24.753094,000030,國道3號,0,N,香山,茄苳,105K+100,105100
03F1022N,0000300110200J,4,120.97227,24.757914,000030,國道3號,0,N,茄苳,新竹系統,102K+200,102200
03F0996N,0000300109940J,4,120.99727,24.755812,000030,國道3號,0,N,新竹系統,寶山,99K+600,99600
03F0961N,0000300109600J,4,121.030426,24.758442,000030,國道3號,0,N,寶山,竹林,96K+100,96100
03F0846N,0000300108400J,4,121.126,24.79144,000030,國道3號,0,N,竹林,關西,84K+600,84600
03F0783N,0000300107810J,4,121.17913,24.797338,000030,國道3號,0,N,關西,關西服務區,78K+300,78300
03F0746N,0000300107460J,4,121.20034,24.816364,000030,國道3號,0,N,關西服務區,高原,74K+600,74600
03F0698N,0000300106900H,4,121.20858,24.856558,000030,國道3號,0,N,高原,龍潭,69K+800,69800
03F0648N,0000300106400H,4,121.25084,24.878792,000030,國道3號,0,N,龍潭,大溪,64K+800,64800
03F0559N,0000300105520H,4,121.312454,24.930225,000030,國道3號,0,N,大溪,鶯歌系統,55K+900,55900
03F0525N,0000300105200F,4,121.3419,24.936026,000030,國道3號,0,N,鶯歌系統,三鶯,52K+500,52500
03F0498N,0000300104900F,4,121.36527,24.943825,000030,國道3號,0,N,三鶯,樹林,49K+800,49800
03F0447N,0000300104400F,4,121.41268,24.950502,000030,國道3號,0,N,樹林,土城,44K+700,44700
03F0394N,0000300103900F,4,121.454926,24.975246,000030,國道3號,0,N,土城,中和,39K+400,39400
03F0338N,0000300103320F,4,121.50175,24.978586,000030,國道3號,0,N,中和,安坑,33K+800,33800
03F0301N,0000300103000F,4,121.53057,24.96255,000030,國道3號,0,N,安坑,新店,30K+100,30100
03F0217N,0000300102160A,4,121.59337,24.993744,000030,國道3號,0,N,新店,木柵,21K+700,21700
03F0201N,0000300102000F,4,121.59638,25.007376,000030,國道3號,0,N,木柵,南港系統&南深路出口匝道,20K+100,20100
03F0150N,0000301105010F,4,121.62479,25.042389,000030,國道3號,0,N,南港系統&南深路出口匝道,南港,15K+000,15000
